,mean_0,std_0,median_0,mean_1,std_1,median_1,mean_diff,pct_diff,cohen_d,p_value
현미(-11~-15),0.00818424405399568,0.00503473088882284,0.007189522,0.006985546328571428,0.003966226520196714,0.0062319505,-0.0011986977254242514,-14.646407383697554,0.24418118347891227,0.02539575289886032
미국_커피(-11~-15),0.014946052915766738,0.007967856002808874,0.013550247,0.016961620228571433,0.010375970929708262,0.014076611,0.0020155673128046947,13.48561606307745,-0.2422478841058058,0.12326166399132113
원목(-1~-5),0.019001164794816415,0.019310810155262655,0.014595982,0.023574163485714287,0.016111746646740564,0.019680789,0.004572998690897872,24.066938739173516,-0.2416289710762074,0.03373344834046079
미국_설탕(-11~-15),0.013310753602591792,0.006856194990077009,0.012239319,0.011668722657142855,0.007724168100682933,0.009438725,-0.001642030945448937,-12.336123066159157,0.23541355771833364,0.09632668501276076
1~5일 수익률 표준편차,0.24362820908207344,0.21914097998524318,0.158640458,0.19399878752857141,0.1646540749802234,0.144494431,-0.04962942155350203,-20.37096678602718,0.23316542551819522,0.02712632115539067
생우(-16~-20),0.007838554676025919,0.0056257258746115245,0.006564392,0.0065514904142857135,0.004885298091808415,0.0047108275000000005,-0.0012870642617402051,-16.419662998290597,0.23252714883245665,0.04696550872238657
런던_설탕(-11~-15),0.011241458507559395,0.006261291842868775,0.010269164,0.012875831342857144,0.012095790134026936,0.010368008500000001,0.0016343728352977496,14.538797027082426,-0.2242419296435383,0.27130489585503875
원목(-6~-10),0.02161632693952484,0.019020935665558226,0.016500762,0.025885882114285715,0.01921218937275371,0.020230852,0.004269555174760874,19.751529418969476,-0.22417192046942344,0.08610465789051391
미국_옥수수(-11~-15),0.011252937995680345,0.007214561670964368,0.009414538,0.013001501714285713,0.011401119505246075,0.0093368815,0.0017485637186053678,15.538730589972035,-0.22175127869608488,0.21651324942499325
육우(-6~-10),0.00863727444276458,0.006253005480436147,0.00710285,0.010016438899999999,0.006912002603164401,0.009196455,0.0013791644572354184,15.967588692179863,-0.21744775059015145,0.11893160808758717
kospi200(-20),0.025805705892008646,0.20384118382198163,-0.015393724,0.07556427108571429,0.36611980248570786,-0.0033780244999999996,0.04975856519370564,192.82001198469277,-0.21498438815662446,0.2699428610380208
돈육(-6~-10),0.019102213844492438,0.016616058568167277,0.014611645,0.016107314485714286,0.015960086506200684,0.010519662999999999,-0.002994899358778152,-15.678284114915,0.1811545309308237,0.14895842704400009
